name,time,dex_price,oracle_price,dex_diff
GOLD,2021-12-14 12:53,185.02890891,166.99,110.80238871189891
SILVA,2021-12-14 12:53,23.38093208,20.61,113.44460009704028
MSCI,2021-12-14 12:53,150.09997452,132.57,113.22318361620276
GOLD,2021-12-14 12:53,185.02890891,166.99,110.80238871189891
SILVA,2021-12-14 12:53,23.38093208,20.61,113.44460009704028
MSCI,2021-12-14 12:53,150.09997452,132.57,113.22318361620276
GOLD,2021-12-14 13:04,185.02890891,167.0,110.79575383832336
SILVA,2021-12-14 13:04,23.38205571,20.61,113.4500519650655
MSCI,2021-12-14 13:04,150.09997452,132.46,113.31720860637172
GOLD,2021-12-14 13:07,185.02890891,167.0,110.79575383832336
SILVA,2021-12-14 13:07,23.38561898,20.61,113.4673409995148
MSCI,2021-12-14 13:07,150.09997452,132.46,113.31720860637172
GOLD,2021-12-14 13:35,189.21426231,167.0,113.30195347904191
SILVA,2021-12-14 13:35,23.28280704,20.61,112.968496069869
MSCI,2021-12-14 13:35,149.68655973,132.46,113.00510322361468
GOLD,2021-12-14 13:07,184.19874266,167.0,110.2986482994012
SILVA,2021-12-14 13:07,23.63576259,20.61,114.68104119359536
MSCI,2021-12-14 13:07,149.87720145,132.46,113.14902721576324
GOLD,2021-12-14 13:20,184.87362829,167.0,110.70277143113772
SILVA,2021-12-14 13:20,23.53397989,20.61,114.18719015041243
MSCI,2021-12-14 13:20,149.88876463,132.46,113.1577567794051
GOLD,2021-12-14 13:36,182.77607287,167.0,109.44675022155688
SILVA,2021-12-14 13:36,23.28861944,20.61,112.99669791363416
MSCI,2021-12-14 13:36,149.88876463,132.46,113.1577567794051
